pid,old-pid,gid,unique gid,goaldisrupted,old-cid,goal-statement,Goal categories,cid,uniquecid,Goal scope,rep-id,Situation that occurred ,Duplicate?,notes- circumstance,barrier or event,circumstance,socio-ecological layer,socio_ecological,Repeating for another goal,Life Event?,Pre-existing?,how-long,notes,frequency,notes,,affect-wellbeing,affect-logistical,Disruption labor produced,Disruption labor produced,Disruption labor produced,affect-goal: how did circumstance affect your goal? (answer only if ,change- how did you change your goal in response to circumstance,Goal changes,notes,,,,,
S18,S18,goal4,S18goal4,,circ1,get piercing,Recreation,circ1,S18goal4circ1,Medium term,r13,Finances,Yes,,barrier,no money,Psychosocial Factors,Psychosocial,Yes,No,No,longer than a year,,every 6 months,,,sad I can't buy stuff,,Emotional,,,can't afford,try to get job,Other,,,,,,
S19,S19,goal1,S19goal1,,circ2,Saving money,Financial Stability/Safety,circ2,S19goal1circ2,Long term,,Finances,No,,barrier,Not making enough money at my job,Living and Working Conditions,Psychosocial,No,No,No,longer than a year,,every other week,,,It has made it difficult to be able to live and also be financially stable,,Financial,,,It is hard to save money when basic things cost so much,I spend extra money on only things that are necessary,No response,,,,,,
S20,S20,goal1,S20goal1,,circ2,I have a goal to continue to grow my business that I started last year. I very much would love for this to be the only job that I need to support myself and my family.,Work/Career,circ2,S20goal1circ2,Long term,,Internal - Feelings and thoughts,No,,barrier-unconfident,Fear of further failure.,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,monthly,,,It makes me upset and causes anxiety about wanting my business to do well but being scared I will fail even more than I already feel like I have.,,Emotional,,,It causes me to lose motivation to keep working on my business. It also makes me feel like I should just let go of that dream for now until I can make money elsewhere to support that dream.,I have taken a break from making anything business related for a month to clear my head which helped.,Paused,,,,,,
S20,S20,goal2,S20goal2,,circ1,"I would like to spend more time working out, specifically in the pool because swimming feels so nice but also gives me a great full body workout.",Physical Activity,circ1,S20goal2circ1,Medium term,,Surroundings,No,,event-external,"Lack of shade on our pool, not wanting to get sunburnt so only swimming in the evening.",Psychosocial Factors,Living/Working,No,No,No,more than half a day to a day,,daily,,,"It makes me sad because I would love to be in the pool all day, but I got very badly sun burnt in the past and it worries me to have it happen again as it was very painful. I also am not a huge fan of chemicals all over my body to protect against the sun so I wish we had more shade that could cover the pool and I wouldn't need to worry anymore.",,Emotional,Logistical,,Because I am limited to being in the pool after the sun has gotten off the pool section of our back yard it limits the time I can be in the pool because it gets a bit colder. This limit makes it so it is less likely I can spend time in the pool.,"I have been trying to find ways to make shade that could work, and saving up for a nice umbrella to create a shaded section.",Substituted activity,,,,,,
S20,S20,goal1,S20goal1,,circ1,I have a goal to continue to grow my business that I started last year. I very much would love for this to be the only job that I need to support myself and my family.,Work/Career,circ1,S20goal1circ1,Long term,,Work,No,,event-external,Lack of interaction with my business online.,Psychosocial Factors,Living/Working,No,No,No,multiple months to a year,,daily,not okay,non-recurring,"It made me upset and made me feel like friends of mine that has told me they were going to support me and help to share all of my stuff when I finally started, yet not a single one of them has. It kind of shows to me the truth in people's words, or lack there of. It also makes me feel like I have failed.",,Emotional,,,"Lack of interaction has directly affected my business because I am not making any sales, which means I am making no money.","I have tried my best to keep sharing my products and making posts on social media, hoping to slowly build a following of people who will interact with my business over time.",No change,,,,,,
S20,S20,goal2,S20goal2,,circ2,"I would like to spend more time working out, specifically in the pool because swimming feels so nice but also gives me a great full body workout.",Physical Activity,circ2,S20goal2circ2,Medium term,,Work,No,,barrier-unconfident,Schedule does not always allow time for it,Living and Working Conditions,Living/Working,No,No,No,multiple days to a week,,weekly,,,"It just makes me sad that I can't always make it out there, especially since we are limited to how much longer we will be able to still swim since our pool is not heated.",,Emotional,Logistical,,It keeps me from having the time that I want to be able to go swimming every night and for how long.,"I have tried to carve out time at night to go swimming after dinner which has worked a decent amount of times so far, but not possible every night.",Changed quantity,,,,,,
S21,S21,goal1,S21goal1,"S21goal2, S21goal4, S21goal5",circ2,Find a job,Work/Career,circ2,S21goal1circ2,Medium term,,Caregiving,No,,event-external,Currently without childcare and it is summer so no school either,Social and Community Networks,Social/Community,No,No,No,multiple months to a year,,daily,not okay,non-recurring,"Single mother, so without childcare it's hard to do anything",,Logistical,,,"Single mother, so without childcare it's impossible to go to a job, and until summer break is over I can't even find something for during school hours",Waiting until summer is over and she. Is in school to find something,Paused,,,,,,
S21,S21,goal2,S21goal2,,circ1,Find an apartment,Housing,circ1,S21goal2circ1,Medium term,,Employment,No,,event-external,No proof of income due to unemployment,Socioeconomic and Political Context,Socioeconomic/Political,No,No,Yes,multiple months to a year,,daily,not okay,non-recurring,Makes me feel like a lazy piece of shit,,Logistical,Emotional,,No one will rent to someone with no income,Reached out to my mother to cosign,Changed/ adopted support,,,,,,
S20,S20,goal1,S20goal1,,circ3,I have a goal to continue to grow my business that I started last year. I very much would love for this to be the only job that I need to support myself and my family.,Work/Career,circ3,S20goal1circ3,Long term,,Finances,No,insufficient salary/ savings,barrier,"Not having the money to spend on marketing/ Not having the money to be able to go to vending events which would be out of town and would mean I need to rent a vehicle to haul myself, my partner, and all of my products to the location, the fees for vending at these events, and the cost of somewhere to stay and our food while there, not knowing if I will make enough to be worth it.",Social and Community Networks,Psychosocial,No,No,No,multiple weeks to a month,,monthly,,,"It made me upset and frustrated./ It causes frustration because I feel like, and know, that this causes me a real issue with my business. I know how important it is to handmade businesses to be able to go and sell their products at vending events where people expect to spend money. It gets a lot more eyes on your product than social media posts where I only have a few followers.",,Emotional,Financial,,It has disrupted my goal because I feel as though if I was able to have money to spend on marketing I would be able to run ads and get more views on my business pages and website to sell my stuff. / It keeps me from feeling motivated to keep making stuff. If I knew that I was able to go to a vending event I would be spending a bunch of time making more products so I had a lot of stuff to sell at the event.,"I have been working on trying to figure out if I can fit it into my budget, and getting a job outside of the house to support myself and the business until I can get that up and going on its own./ Like previous disruptions I have been in the process of trying to find another job to be able to support all these money related needs with the business.",Other,looks like they are working on solving the money issues for a while,,,,,
S21,S21,goal5,S21goal5,,circ1,Get a car,Shopping,circ1,S21goal5circ1,Long term,,Finances,No,,barrier,No money,Psychosocial Factors,Psychosocial,No,No,Yes,longer than a year,"single big instance of disruption, more of a barrier, time scale of months",daily,not okay,non-recurring,It makes living almost impossible,,Financial,,,"People generally don't give them away for free, and want money in return for a car and I have none",,Abandoned,,,,,,
S21,S21,goal3,S21goal3,S21goal4,circ1,Be more honest with therapist and psychiatrist,Mental health and wellbeing,circ1,S21goal3circ1,Aspirational,,Internal - Feelings and thoughts,No,,barrier,I have an extremely hard time opening up or talking about feelings and emotions,Living and Working Conditions,Psychosocial,No,No,No,longer than a year,,weekly,,,Everything stays bottled up,,Emotional,,,"Makes it harder for my therapist and psychiatrist to help treat my PTSD, depression, anxiety and ADHD","So far I haven't, still trying to",No change,,,,,,
S21,S21,goal4,S21goal4,,circ1,Improve mine and my daughter's life,Social connection,circ1,S21goal4circ1,Aspirational,,Internal - Feelings and thoughts,Yes,,barrier,Mental health issues and circumstances,Behaviors and Biological Factors,Psychosocial,No,No,Yes,longer than a year,"could be made up of smaller instances of recurring disruption, time scale of less than half a day",daily,okay,recurring,Poor mental health and struggling with suicidal ideation,,Emotional,,,Hard to do anything,Continuing to work on my mental health and circumstances,No change,,,,,,
S21,S21,goal1,S21goal1,,circ3,Find a job,Work/Career,circ3,S21goal1circ3,Medium term,,Technical,No,assuming they never had a car,barrier,"No car currently, which greatly limits my prospects",Psychosocial Factors,Living/Working,No,No,Yes,multiple months to a year,,daily,not okay,non-recurring,Hard to get anywhere,,Logistical,,,Must be able to walk to wherever I work as public transit is unreliable in my area and there are very limited places,"Still trying to figure out a workaround, and only looking at the crappy places near me",No change,changed from substituted activitiy- no activity or action was substituted.,,,,,
S21,S21,goal1,S21goal1,,circ4,Find a job,Work/Career,circ4,S21goal1circ4,Medium term,,Internal-Skills,No,,barrier,No degrees,Psychosocial Factors,Socioeconomic/Political,No,No,Yes,longer than a year,"single big instance of disruption, more of a barrier",daily,not okay,non-recurring,Inapplicable,,No response,,,Limits prospects and income,I haven't,No change,,,,,,
S22,S22,goal1,S22goal1,S22goal3,circ1,Finding a post-grad job,Work/Career,circ1,S22goal1circ1,Medium term,,Employment,No,,barrier,No license so limited to remote jobs,Living and Working Conditions,Living/Working,No,No,Yes,multiple months to a year,,weekly,,,"feels isolating, fewer options",,Emotional,,,,I search for jobs that are only remote or close enough to my city,Substituted activity,,,,,,
S22,S22,goal1,S22goal1,,circ2,Finding a post-grad job,Work/Career,circ2,S22goal1circ2,Medium term,,Employment,No,,event-external,Jobs not accepting fresh grads,Living and Working Conditions,Socioeconomic/Political,No,No,No,multiple months to a year,,weekly,,,frustrated,,Emotional,,,,I tend to look at entry level now,Substituted activity,,,,,,
S22,S22,goal1,S22goal1,,circ3,Finding a post-grad job,Work/Career,circ3,S22goal1circ3,Medium term,,Employment,No,,event-external,Vague job descriptions and pay,Living and Working Conditions,Living/Working,No,No,No,multiple months to a year,,weekly,,,annoyed,,Emotional,,,,Had to spend more time perusing job listings,Changed quantity,,,,,,
S22,S22,goal3,S22goal3,,circ2,Seeking a romantic partner,Social connection,circ2,S22goal3circ2,Medium term,,Employment,Yes,,event-external,busy and hard to schedule dates/have time to text,Living and Working Conditions,Living/Working,No,No,No,multiple months to a year,,weekly,,,"feeling guilty, tired, depleted social battery",,Emotional,,,,being picky with my time and scheduling way in advance,Changed environment,,,,,,
S25,S25,goal1,S25goal1,,circ2,save for retirement,Financial Stability/Safety,circ2,S25goal1circ2,Long term,,Finances,No,,barrier,little money to put into investment,Psychosocial Factors,Psychosocial,No,No,No,multiple months to a year,,daily,not okay,non-recurring,NA,,Financial,,,can't grow my money more,NA,No response,,,,,,
S27,S27,goal5,S27goal5,,circ1,Boost financial stability,Financial Stability/Safety,circ1,S27goal5circ1,Long term,,Finances,No,,event-external,Unexpected Expenses,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,every 6 months,,,Physical Symptoms: Potential physical symptoms such as headaches or stomach issues due to stress and worry.,Review and Adjust Budget: Spent additional time revising your budget or financial plan to accommodate the new expenses.,Physical,,,"Budget Overrun: They can lead to an immediate budget overrun, forcing a reallocation of funds that were planned for savings or investments.",,No response,,,,,,
S22,S22,goal3,S22goal3,,circ1,Seeking a romantic partner,Social connection,circ1,S22goal3circ1,Medium term,,Internal - Feelings and thoughts,No,,event-external,flaky romantic interests,Psychosocial Factors,Social/Community,No,No,No,multiple days to a week,,every 6 months,,,disappointed,,Emotional,,,,"being picky with people, choosing more intentional people",Changed thoughts or belief,,,,,,
S23,S23,goal1,S23goal1,,circ1,finding ways to help better manage my depression without medication,Mental health and wellbeing,circ1,S23goal1circ1,Long term,,Social interactions - negative,No,,event-external,my children not doing what was asked repeatedly,Social and Community Networks,Social/Community,No,No,No,an hour or less,,every other week,,,overwhelming feeling,,Emotional,,,,I came up with a better solution that made it entertaining for my children to do what was asked and they finished with only having to ask one time,Other,,,,,,
S23,S23,goal1,S23goal1,,circ2,finding ways to help better manage my depression without medication,Mental health and wellbeing,circ2,S23goal1circ2,Long term,,Social interactions - negative,No,,event-external,argument with an immediate family member,Social and Community Networks,Social/Community,No,Yes,No,more than an hour to half a day,,every 6 months,,,emotionally drained,,Emotional,,,,i distanced myself from this family member,Changed environment,,,,,,
S23,S23,goal1,S23goal1,,circ3,finding ways to help better manage my depression without medication,Mental health and wellbeing,circ3,S23goal1circ3,Long term,,Sleep,No,,event-internal,nightmare,Psychosocial Factors,Psychosocial,No,No,No,no disruption to finding ways to help better manage my depression without medication due to nightmare,,weekly,,,"anxious, scared",,Emotional,,,,praying before bed,Substituted activity,,,,,,
S23,S23,goal2,S23goal2,,circ1,finding ways to help better manage my anxiety,Mental health and wellbeing,circ1,S23goal2circ1,Long term,,Social interaction - other,No,,event-external,careless drivers,Psychosocial Factors,Social/Community,No,No,No,more than half a day to a day,,weekly,,,anxiety,,Emotional,,,hard to focus,i avoid main streets that tend to have more traffic,Substituted activity,,,,,,
S23,S23,goal3,S23goal3,,circ1,workouts for a better physical fitness,Physical Activity,circ1,S23goal3circ1,Medium term,,Weather,No,,event-external,weather conditions,Living and Working Conditions,Living/Working,No,No,No,more than an hour to half a day,,weekly,,,laziness,,Emotional,,,no motivation,youtube workouts to do inside,Substituted activity,,,,,,
S24,S24,goal2,S24goal2,,circ1,eating a healthier diet,Nutrition,circ1,S24goal2circ1,Medium term,,Internal - Feelings and thoughts,No,,event-internal,"i didn't have anything good to eat in the fridge, so I ate fast food.",Psychosocial Factors,Behavior/Biological,No,No,No,multiple days to a week,,weekly,,,i felt guilty and fat for eating out,,Emotional,,,my lack of appetizing food options made me eat junk,i did not eat healthy for that day,Skipped,,,,,,
S24,S24,goal2,S24goal2,,circ2,eating a healthier diet,Nutrition,circ2,S24goal2circ2,Medium term,,Social interaction - other,No,,event-external,I attended a party yesterday that had lots of junk food,Psychosocial Factors,Social/Community,No,No,No,more than half a day to a day,,monthly,,,i had access to lots of free junk food,,Emotional,,,i ate lots of fried foods and candy that day,i ate mostly junk food that day,Skipped,,,,,,
S24,S24,goal1,S24goal1,,circ2,improving my cardio health,Physical Activity,circ2,S24goal1circ2,Long term,,Pain,No,,event-internal,sore back,Psychosocial Factors,Behavior/Biological,No,No,No,multiple days to a week,,daily,,,"it made me frustrated, it made me feel 'broken'",,Emotional,,,i can't do too much exercise because of my back,I do light exercise like fast walking and jogging,Substituted activity,,,,,,
S24,S24,goal1,S24goal1,,circ1,improving my cardio health,Physical Activity,circ1,S24goal1circ1,Long term,,Weather,No,,event-external,heat wave making it difficult to exercise,Behaviors and Biological Factors,Living/Working,No,No,No,multiple days to a week,,daily,,,the hot weather made me feel depressed and mad,,Emotional,,,i couldn't exercise outside during the day,I would jog at night occasionally instead of the day,Rescheduled,,,,,,
S25,S25,goal3,S25goal3,,circ2,get a job,Work/Career,circ2,S25goal3circ2,Medium term,,Employment,No,,event-external,tough job market,Living and Working Conditions,Socioeconomic/Political,No,No,No,multiple months to a year,,daily,not okay,non-recurring,NA,,No response,,,less opportunities,no change,No change,,,,,,
S28,S28,goal2,S28goal2,,circ3,Save an extra 100 dollars to pay off car faster,Financial Stability/Safety,circ3,S28goal2circ3,Medium term,,Finances,No,,not enough information,Paying off other bills first,Psychosocial Factors,Psychosocial,No,No,No,multiple months to a year,,monthly,,,It creates stress,NA,Emotional,,,NA,I paid off bills and debt that were more important to allow for the car to be focused on after.,Other,,,,,,
S29,S29,goal1,S29goal1,,circ2,saving to buy a car,Shopping,circ2,S29goal1circ2,Long term,,Finances,No,,barrier-unconfident,impulse buying,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,weekly,,,I felt guilty,NA,Emotional,,,reduced my saving amount,Spent too much money shopping,Skipped,,,,,,
S25,S25,goal3,S25goal3,S25goal1,circ1,get a job,Work/Career,circ1,S25goal3circ1,Medium term,,Internal - Feelings and thoughts,No,,barrier,low drive,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,daily,,,constant guilt nagging at me,,Emotional,,,,searched less/less often,Skipped,,,,,,
S25,S25,goal2,S25goal2,,circ1,exercise through playing badminton,Physical Activity,circ1,S25goal2circ1,Medium term,,Pain,No,,event-internal,body soreness from playing too much,Psychosocial Factors,Behavior/Biological,No,No,No,multiple days to a week,,weekly,,,doing certain things (eg bending knees) hurt a little,,Physical,,,,no change,No change,,,,,,
S25,S25,goal2,S25goal2,,circ2,exercise through playing badminton,Physical Activity,circ2,S25goal2circ2,Medium term,,Social interaction - other,No,,barrier-unconfident,people don't want to play with me much,Psychosocial Factors,Social/Community,No,No,No,multiple weeks to a month,,weekly,,,NA`,,No response,,,"less enjoyment, less activity",no change,No change,,,,,,
S26,S26,goal1,S26goal1,,circ1,Exercise 3-5 days a week,Physical Activity,circ1,S26goal1circ1,Medium term,,No disruption,No,,not enough information,N/A (I don't work out on weekends),Living and Working Conditions,No response,No,No,No,No response,,No response,,,,,No labor- positive disruption,,,,,No response,,,,,,
S26,S26,goal2,S26goal2,,circ1,"Apply to jobs, even if they're not directly within my career path",Work/Career,circ1,S26goal2circ1,Medium term,,No disruption,No,,event-external,Recuperating from being laid off,Psychosocial Factors,Psychosocial,No,Yes,No,No response,,No response,,,It helped me feel a little more like myself.,,No labor- positive disruption,,,,I simply did not look at jobs for a few days.,Paused,,,,,,
S26,S26,goal3,S26goal3,,circ1,Work on strategies for managing my ADHD,Mental health and wellbeing,circ1,S26goal3circ1,Medium term,,No disruption,Yes,,event-external,Recuperating from being laid off,Psychosocial Factors,Psychosocial,No,Yes,No,No response,,No response,,,It made me feel a little more human.,NA,No labor- positive disruption,,,I barely had the brainspace to manage myself.,I resolved to get back to using strategies this week.,Paused,,,,,,
S27,S27,goal1,S27goal1,,circ1,Improve physical health,Physical Activity,circ1,S27goal1circ1,Long term,,Work,No,,event-external,Unexpected work meeting,Living and Working Conditions,Living/Working,No,No,No,more than half a day to a day,,monthly,,,"The unexpected work meeting increased my stress levels and left me feeling anxious about falling behind on my fitness goals. I also felt physically tired from working late, which made it harder to stay motivated for exercise.",,Emotional,Physical,,"The unexpected work meeting disrupted my goal of improving physical health by cutting into my scheduled workout time, making it difficult to complete my planned exercise routine and leading to a reduced focus on my fitness activities for the day.","Incorporated Movement: Took short, brisk walks during breaks to stay active.",Substituted activity,,,,,,
S27,S27,goal1,S27goal1,,circ2,Improve physical health,Physical Activity,circ2,S27goal1circ2,Long term,,Weather,No,,event-external,Rainy weather,Living and Working Conditions,Living/Working,No,No,No,multiple days to a week,,every other week,,,The rainy weather affected my well-being by causing frustration and disappointment at not being able to stick to my usual exercise routine. It also added stress as I had to adjust plans and find alternative indoor workouts.,"Adjust Exercise Routine: Set up and follow a new indoor workout plan, which involved researching and selecting suitable exercises.",Emotional,,Logistical,"The rainy weather disrupted my goal of improving physical health by making it unsafe and unappealing to run outdoors, which was my preferred exercise. This led to a lack of motivation to do my usual workout and required finding alternative indoor exercises.",Indoors Exercise: Switched to a home workout routine instead of going for an outdoor run.,Substituted activity,,,,,,
S27,S27,goal1,S27goal1,,circ3,Improve physical health,Physical Activity,circ3,S27goal1circ3,Long term,,Diet,No,,event-internal,Late dinner,Psychosocial Factors,Behavior/Biological,No,No,No,multiple days to a week,,every other week,,,"The late dinner affected my well-being by causing physical discomfort and a feeling of fullness, which made it difficult to relax or sleep well. It also led to guilt for not sticking to my planned workout routine.","Adjust Workout Plans: Reorganize my evening schedule to fit in a shorter, less intense workout session.",Physical,Emotional,Logistical,The late dinner disrupted my goal of improving physical health by making me feel too full and uncomfortable to engage in a vigorous workout. It also affected my energy levels and motivation to exercise effectively afterward.,Shortened Workout: Reduced my exercise session to 20 minutes instead of the usual 45 minutes.,Changed quantity,,,,,,
S27,S27,goal2,S27goal2,,circ1,Enhance mental well-being,Mental health and wellbeing,circ1,S27goal2circ1,Long term,,Work,No,,barrier-unconfident,High Work Stress,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,monthly,,,"High work stress affected my well-being by increasing my anxiety and causing emotional exhaustion. It also led to physical symptoms like tension headaches and disrupted sleep, further compounding the stress and reducing my overall sense of well-being.",Extended Work Hours: Spent extra time working to meet deadlines and manage increased workload.,Emotional,Physical,Logistical,"High work stress disrupted my goal of enhancing mental well-being by increasing feelings of anxiety and overwhelm, which made it difficult to focus on relaxation and mindfulness practices. It also reduced my motivation to engage in activities that support mental health.","Incorporated Quick Breaks: Took short, mindful breaks throughout the workday instead of longer, scheduled relaxation sessions.",Changed quantity,,,,,,
S27,S27,goal3,S27goal3,,circ2,Strengthen social connections,Social connection,circ2,S27goal3circ2,Aspirational,,Work,Yes,,event-external,Work Deadlines,Living and Working Conditions,Living/Working,No,No,No,more than half a day to a day,,monthly,,,"Work deadlines affected my well-being by increasing stress and anxiety due to the pressure to meet tight deadlines. This led to physical symptoms such as fatigue and tension headaches, and emotional stress from feeling overwhelmed and guilty about not having enough time for personal connections.","Extended Work Hours: Spent additional hours working to meet deadlines, often staying late or working on weekends.",Emotional,Physical,Logistical,Work deadlines disrupted my goal of strengthening social connections by limiting my available time for socializing and reducing my ability to engage meaningfully with others. The intense focus on work left me with little energy or opportunity to connect with friends and family.,Rescheduled Social Activities: Moved planned social interactions to a later time or day when I had more availability.,Rescheduled,,,,,,
S27,S27,goal4,S27goal4,,circ1,Advance career goals,Work/Career,circ1,S27goal4circ1,Long term,,Work,Yes,,event-external,Unexpected Meeting,Psychosocial Factors,Living/Working,No,No,No,multiple weeks to a month,,every other week,,,"The unexpected meeting increased my stress levels and caused anxiety about falling behind on career goals. I felt guilty for not being able to allocate enough time to my development tasks, which added to my overall sense of pressure and fatigue.",Reorganize Work Schedule: Adjust my planned tasks and deadlines to accommodate the meeting.,Emotional,,Logistical,"The unexpected meeting disrupted my goal of advancing career goals by interrupting planned work time, leading to reduced focus on career development tasks and delaying progress on essential projects or networking activities.",Rescheduled Tasks: Moved my career advancement activities to later in the day or week to accommodate the meeting.,Rescheduled,,,,,,
S29,S29,goal2,S29goal2,,circ1,saving to re-furnish my home,Housing,circ1,S29goal2circ1,Long term,,Finances,No,,not enough information,House shopping,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,monthly,,,felt disappointment,NA,Emotional,,,I cut off my savings,I spent more on general house necessities,Skipped,,,,,,
S30,S30,goal2,S30goal2,,circ1,Moving to a new location,Housing,circ1,S30goal2circ1,Long term,,Finances,No,,barrier,Not saving enough money,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,monthly,,,,NA,Financial,,,,Putting off relocating,Paused,,,,,,
S28,S28,goal1,S28goal1,,circ1,Actively cut back on sugary foods,Nutrition,circ1,S28goal1circ1,Medium term,,Social interactions - negative,No,,event-external,Wife wanted to throw away a cookie and I don't like throwing food away,Social and Community Networks,Social/Community,No,No,No,an hour or less,,monthly,,,I was upset because I told her not to eat too many cookies but she didn't listen. So she got full and wanted to throw the last one away so I ate it instead.,,Emotional,,,"Her wanting to throw it away is wasteful and a sin. So instead of throwing it away, I ate it. Therefore, it added sugar into my daily intake",It was half of a cookie so I didn't change anything.,No change,,,,,,
S45,S47,goal4,S45goal4,,circ1,To get a new bridge at my house,Housing,circ1,S45goal4circ1,Medium term,,Finances,Yes,,barrier-unconfident,No money,Psychosocial Factors,Psychosocial,No,No,Yes,multiple months to a year,,yearly or less,,,No materalwindy weather,Ran out of time,Logistical,,,No money,No materal,Abandoned,,,,,,
S45,S47,goal1,S45goal1,,circ1,Vacation to Amish county in ohio,Recreation,circ1,S45goal1circ1,Medium term,,Finances,No,,barrier-unconfident,Could not get the money,Psychosocial Factors,Psychosocial,No,No,Yes,multiple months to a year,,every 6 months,,,No money no trip. Na,,Financial,,,Nonena,No money for hotel or gas,Abandoned,,,,,,
S28,S28,goal3,S28goal3,,circ1,Increase step count from 2000 to 4000 a day,Physical Activity,circ1,S28goal3circ1,Medium term,,Weather,No,,event-external,The Heat,Psychosocial Factors,Living/Working,No,No,No,more than half a day to a day,,daily,,,It makes me not want to complete my steps,NA,Emotional,,,It limits the amount of time I have to complete my steps,I have to either get up earlier and start walking in the morning or wait till evening when the sun is setting to get my steps in.,No response,,,,,,
S29,S29,goal3,S29goal3,,circ1,reading self-help books daily,Education/Learning,circ1,S29goal3circ1,Medium term,,Entertainment,No,,event-external,MOVIES,Psychosocial Factors,Behavior/Biological,No,No,No,more than half a day to a day,,weekly,,,increased anxiety,NA,Emotional,,,spent books time on movies,SPENT 2 HOURS ON MOVIES AND NONE ON BOOKS,Skipped,,,,,,
S45,S47,goal2,S45goal2,,circ1,Going to Maryland to visit my fathers grave,Social connection,circ1,S45goal2circ1,Medium term,,Finances,Yes,,barrier-unconfident,No money,Psychosocial Factors,Psychosocial,No,No,Yes,multiple months to a year,,every 6 months,,,None,M/A,Financial,,,Na other,No money no trip,Abandoned,,,,,,
S29,S29,goal1,S29goal1,,circ1,saving to buy a car,Shopping,circ1,S29goal1circ1,Long term,,Health,No,,event-external,health emergencies,Behaviors and Biological Factors,Behavior/Biological,No,Yes,No,multiple months to a year,,monthly,,,I was physically and mentally exhausted,,Emotional,Physical,,Finances were not enough so i did not save for 2 months,I cut off my monthly saving for a 2 months,Paused,,,,,,
S45,S47,goal3,S45goal3,,circ1,To repair my kitchen floors,Housing,circ1,S45goal3circ1,Medium term,,Finances,Yes,,barrier-unconfident,No money,Psychosocial Factors,Psychosocial,No,No,Yes,multiple months to a year,,every 6 months,,,N/a,,Financial,,,No materal,No money for materials,Abandoned,,,,,,
S53,S56,goal4,S53goal4,,circ2,To be the best husband that I can be.,Social connection,circ2,S53goal4circ2,Aspirational,,Finances,No,assuming low salary,barrier,Finances,Psychosocial Factors,Psychosocial,,No,No,multiple months to a year,,monthly,,,Health conditions,Meditate and try to save when I can,Emotional,Logistical,Financial,Na,Finances causes stress which cause other problems,Skipped,,,,,,
S31,S32,goal3,S31goal3,,circ1,Eating healthy,Nutrition,circ1,S31goal3circ1,Medium term,,Diet,No,,event-internal,Eating late,Psychosocial Factors,Behavior/Biological,No,No,No,multiple weeks to a month,,yearly or less,,,Gained weight,,Physical,,,Made me bloat,Eating early,Changed quantity,,,,,,
S31,S32,goal2,S31goal2,,circ1,Exercising more,Physical Activity,circ1,S31goal2circ1,Medium term,,Internal - Feelings and thoughts,No,,barrier-unconfident,TOO TIRED,Behaviors and Biological Factors,Behavior/Biological,No,No,No,multiple weeks to a month,,yearly or less,,,I felt too comfortable,,Emotional,,,made me lazy,Tried to be less busy,Paused,,,,,,
S54,S57,goal4,S54goal4,,circ1,Go to vacation,Recreation,circ1,S54goal4circ1,Medium term,,Finances,Yes,,barrier-unconfident,No enough money,Psychosocial Factors,Psychosocial,,No,No,multiple months to a year,,yearly or less,,,I felt a little sad.,na,Emotional,,,na,I postponed the goal for the next year,Paused,,,,,,
S31,S32,goal1,S31goal1,,circ2,Saving,Financial Stability/Safety,circ2,S31goal1circ2,Long term,,Pain,No,,not enough information,Unforeseen circumstances,Psychosocial Factors,Living/Working,No,No,No,multiple days to a week,,yearly or less,,,I was devastated,,Emotional,Physical,,Accidents,Illness,No response,,,,,,
S32,S33,goal1,S32goal1,,circ1,Regularly practice and learn coding,Education/Learning,circ1,S32goal1circ1,Medium term,,Social interaction - other,No,,event-external,My in-laws were visiting for the weekend,Socioeconomic and Political Context,Social/Community,No,No,No,more than an hour to half a day,,every 6 months,,,It made me feel a bit bad about not meeting my goals.,,Emotional,,,I had no free time to practice.,I refrained from any coding,Skipped,,,,,,
S32,S33,goal1,S32goal1,,circ2,Regularly practice and learn coding,Education/Learning,circ2,S32goal1circ2,Medium term,,Housework,No,,event-internal,I had to deep clean my apartment,Psychosocial Factors,Living/Working,No,No,No,more than half a day to a day,,monthly,,,It was tiring and reduced the amount of sleep I got.,I had to order food because I had no time to cook.,Physical,,Logistical,It gave me less time to put towards coding.,I changed my goal to code for only about 30 minutes.,Changed quantity,,,,,,
S32,S33,goal2,S32goal2,,circ1,Keep my apartment clean with daily tasks,Cleaning/organizing,circ1,S32goal2circ1,Medium term,,Pain,No,,event-internal,back pain,Behaviors and Biological Factors,Behavior/Biological,No,No,No,more than an hour to half a day,,every other week,,,It restricted my movement and wore me out,take painkillers and CBD,Physical,,,It made it harder to move around,Created a longer window in which I can clean without guilt,Changed quantity,,,,,,
S32,S33,goal2,S32goal2,S32goal1,circ2,Keep my apartment clean with daily tasks,Cleaning/organizing,circ2,S32goal2circ2,Medium term,r17,Work,Yes,,event-external,busy work schedule,Living and Working Conditions,Living/Working,Yes,No,No,more than an hour to half a day,,monthly,,,It wears me out mentally and physically.,allocate less time for hobbies,Physical,Emotional,,My work takes up time that could be used for cleaning.,I clean before work regardless of when I must be at work.,Rescheduled,,,,,,
